  No;Problem;                                                                            ;;
 341;lwb/k_grz_n.0050.spartacus;                                              0.01; Sat  ;
 342;lwb/k_grz_n.0060.spartacus;                                              0.01; Sat  ;
 343;lwb/k_grz_n.0070.spartacus;                                              0.02; Sat  ;
 344;lwb/k_grz_n.0080.spartacus;                                              0.03; Sat  ;
 345;lwb/k_grz_n.0090.spartacus;                                              0.03; Sat  ;
 346;lwb/k_grz_n.0100.spartacus;                                              0.04; Sat  ;
 347;lwb/k_grz_n.0200.spartacus;                                              0.20; Sat  ;
 348;lwb/k_grz_n.0300.spartacus;                                              0.46; Sat  ;
 349;lwb/k_grz_n.0400.spartacus;                                              0.82; Sat  ;
 350;lwb/k_grz_n.0500.spartacus;                                              1.21; Sat  ;
 351;lwb/k_grz_n.0600.spartacus;                                              1.77; Sat  ;
 352;lwb/k_grz_n.0700.spartacus;                                              2.68; Sat  ;
 353;lwb/k_grz_n.0800.spartacus;                                              3.50; Sat  ;
 354;lwb/k_grz_n.0900.spartacus;                                              4.28; Sat  ;
 355;lwb/k_grz_n.1000.spartacus;                                              5.07; Sat  ;
 356;lwb/k_grz_n.1100.spartacus;                                              6.03; Sat  ;
 357;lwb/k_grz_n.1200.spartacus;                                              9.83; Sat  ;
 358;lwb/k_grz_n.1300.spartacus;                                             11.72; Sat  ;
 359;lwb/k_grz_n.1400.spartacus;                                             13.78; Sat  ;
 360;lwb/k_grz_n.1500.spartacus;                                             15.86; Sat  ;
 361;lwb/k_grz_n.1600.spartacus;                                             18.57; Sat  ;
 362;lwb/k_grz_n.1700.spartacus;                                             21.49; Sat  ;
 363;lwb/k_grz_n.1800.spartacus;                                             25.56; Sat  ;
 364;lwb/k_grz_n.1900.spartacus;                                             29.81; Sat  ;
 365;lwb/k_grz_n.2000.spartacus;                                             32.79; Sat  ;
 366;lwb/k_grz_n.2100.spartacus;                                             36.05; Sat  ;
 367;lwb/k_grz_n.2200.spartacus;                                             47.11; Sat  ;
 368;lwb/k_grz_n.2300.spartacus;                                             55.56; Sat  ;
 369;lwb/k_grz_n.2400.spartacus;                                             60.07; Sat  ;
 370;lwb/k_grz_n.2500.spartacus;                                             64.85; Sat  ;
