Prover,System,Problem,Execution Time,Result
lwb,bbtab,k_lin_p.150000.,9999999.0,NULL
lwb,bbtab,k_lin_p.160000.,9999999.0,NULL
lwb,bbtab,k_lin_p.170000.,9999999.0,NULL
lwb,bbtab,k_lin_p.180000.,9999999.0,NULL
lwb,bbtab,k_lin_p.190000.,9999999.0,NULL
lwb,bbtab,k_lin_p.200000.,9999999.0,NULL
lwb,bbtab,k_lin_p.225000.,9999999.0,NULL
lwb,bbtab,k_lin_p.250000.,9999999.0,NULL
lwb,bbtab,k_lin_p.275000.,9999999.0,NULL
lwb,bbtab,k_lin_p.300000.,9999999.0,NULL
lwb,bbtab,k_lin_p.325000.,9999999.0,NULL
lwb,bbtab,k_lin_p.350000.,9999999.0,NULL
lwb,bbtab,k_lin_p.375000.,9999999.0,NULL
lwb,bbtab,k_lin_p.400000.,9999999.0,NULL
lwb,bbtab,k_lin_p.500000.,9999999.0,NULL
lwb,bbtab,k_path_n.0002.,0.0, Sat  
lwb,bbtab,k_path_n.0004.,0.0, Sat  
lwb,bbtab,k_path_n.0006.,0.01, Sat  
lwb,bbtab,k_path_n.0008.,0.02, Sat  
lwb,bbtab,k_path_n.0010.,0.03, Sat  
lwb,bbtab,k_path_n.0012.,0.04, Sat  
lwb,bbtab,k_path_n.0014.,0.06, Sat  
lwb,bbtab,k_path_n.0016.,0.1, Sat  
lwb,bbtab,k_path_n.0018.,0.14, Sat  
lwb,bbtab,k_path_n.0020.,0.18, Sat  
lwb,bbtab,k_path_n.0030.,0.56, Sat  
lwb,bbtab,k_path_n.0040.,1.34, Sat  
lwb,bbtab,k_path_n.0050.,2.24, Sat  
lwb,bbtab,k_path_n.0060.,4.47, Sat  
lwb,bbtab,k_path_n.0070.,6.67, Sat  
lwb,bbtab,k_path_n.0080.,9.73, Sat  
lwb,bbtab,k_path_n.0090.,15.46, Sat  
lwb,bbtab,k_path_n.0100.,21.98, Sat  
lwb,bbtab,k_path_n.0110.,28.57, Sat  
lwb,bbtab,k_path_n.0120.,42.83, Sat  
lwb,bbtab,k_path_n.0130.,58.12, Sat  
lwb,bbtab,k_path_n.0140.,70.5, Sat  
lwb,bbtab,k_path_n.0150.,94.42, Sat  
