  No;Problem;                                                                            ;;
 131;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s0;     TIMEOUT;      ;
 132;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s1;     TIMEOUT;      ;
 133;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s2;     TIMEOUT;      ;
 134;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s3;     TIMEOUT;      ;
 135;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s4;     TIMEOUT;      ;
 136;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s5;     TIMEOUT;      ;
 137;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s6;     TIMEOUT;      ;
 138;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s7;     TIMEOUT;      ;
 139;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s8;     TIMEOUT;      ;
 140;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s9;        3.33; Unsat;
 141;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s0;     TIMEOUT;      ;
 142;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s1;     TIMEOUT;      ;
 143;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s2;      187.58; Unsat;
 144;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s3;     TIMEOUT;      ;
 145;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s4;     TIMEOUT;      ;
 146;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s5;     TIMEOUT;      ;
 147;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s6;     TIMEOUT;      ;
 148;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s7;     TIMEOUT;      ;
 149;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s8;      307.27; Unsat;
 150;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c180s9;     TIMEOUT;      ;
 151;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s0;     TIMEOUT;      ;
 152;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s1;       46.86; Unsat;
 153;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s2;       59.27; Unsat;
 154;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s3;     TIMEOUT;      ;
 155;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s4;     TIMEOUT;      ;
 156;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s5;     TIMEOUT;      ;
 157;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s6;     TIMEOUT;      ;
 158;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s7;      338.42; Unsat;
 159;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s8;     TIMEOUT;      ;
 160;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s9;     TIMEOUT;      ;
 161;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c080s0;     TIMEOUT;      ;
 162;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c080s1;     TIMEOUT;      ;
 163;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c080s2;     TIMEOUT;      ;
 164;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c080s3;     TIMEOUT;      ;
 165;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c080s4;     TIMEOUT;      ;
 166;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c080s5;     TIMEOUT;      ;
 167;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c080s6;     TIMEOUT;      ;
 168;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c080s7;     TIMEOUT;      ;
 169;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c080s8;     TIMEOUT;      ;
 170;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c080s9;     TIMEOUT;      ;
 171;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c100s0;     TIMEOUT;      ;
 172;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c100s1;     TIMEOUT;      ;
 173;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c100s2;     TIMEOUT;      ;
 174;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c100s3;      169.37; Unsat;
 175;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c100s4;        2.46; Unsat;
 176;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c100s5;     TIMEOUT;      ;
 177;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c100s6;     TIMEOUT;      ;
 178;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c100s7;       27.04; Unsat;
 179;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c100s8;     TIMEOUT;      ;
 180;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c100s9;     TIMEOUT;      ;
 181;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s0;     TIMEOUT;      ;
 182;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s1;     TIMEOUT;      ;
 183;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s2;     TIMEOUT;      ;
 184;3CNF2/v04m1d2C[[0,3,2]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s3;     TIMEOUT;      ;
