  No;Problem;                                                                            ;;
 146;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.2.intohylo;               TIMEOUT;      ;
 147;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.3.intohylo;               TIMEOUT;      ;
 148;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.4.intohylo;               TIMEOUT;      ;
 149;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.5.intohylo;               TIMEOUT;      ;
 150;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.6.intohylo;               TIMEOUT;      ;
 151;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.7.intohylo;               TIMEOUT;      ;
 152;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.8.intohylo;               TIMEOUT;      ;
 153;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.1.intohylo;                   2.23; Satis;
 154;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.2.intohylo;                   2.12; Unsat;
 155;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.3.intohylo;                   1.11; Unsat;
 156;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.4.intohylo;                   0.13; Unsat;
 157;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.5.intohylo;                   1.16; Unsat;
 158;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.6.intohylo;                   1.57; Satis;
 159;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.7.intohylo;                   0.44; Unsat;
 160;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.8.intohylo;                   1.03; Unsat;
 161;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.1.intohylo;                 352.24; Satis;
 162;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.2.intohylo;                 344.02; Satis;
 163;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.3.intohylo;                 472.02; Satis;
 164;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.4.intohylo;                 515.23; Satis;
 165;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.5.intohylo;                 886.66; Satis;
 166;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.6.intohylo;                 348.74; Satis;
 167;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.7.intohylo;                 432.24; Satis;
 168;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.8.intohylo;                  44.57; Unsat;
